名稱,地址,總收容人數,經緯度
東勢鄉賜安宮(香客大樓),雲林縣東勢鄉東南村四安路25號,115,"23.6743018,120.2545627"
東南社區活動中心,雲林縣東勢鄉東南村東榮路29-1號,81,"23.6728846,120.2558139"
東北社區活動中心,雲林縣東勢鄉東北村民權路110號,79,"23.693257,120.2570421"
嘉隆社區活動中心,雲林縣東勢鄉嘉隆村守密街51之1號,55,"23.6657009,120.2592536"
月眉社區活動中心,雲林縣東勢鄉月眉村月興路5號之1,38,"23.6833806,120.2841676"
復興社區活動中心,雲林縣東勢鄉復興村復興路2號,40,"23.6790125,120.2783333"
昌南社區活動中心,雲林縣東勢鄉昌南村昌南路119之2號,25,"23.6954273,120.2608839"
新坤社區活動中心,雲林縣東勢鄉新坤村新吉路5-5號,20,"23.715262,120.2510362"
安南社區活動中心,雲林縣東勢鄉安南村安南路2之2號,27,"23.7006815,120.2529493"
四美社區活動中心,雲林縣東勢鄉四美村四美路65-5號,40,"23.7222152,120.2442776"
龍潭社區活動中心,雲林縣東勢鄉龍潭村仁愛路43號,50,"23.6924194,120.2421213"
程海集會所活動中心,雲林縣東勢鄉程海村程海路56號,36,"23.6759552,120.2326062"
同安國小(風雨教室),雲林縣東勢鄉同安村同安路67號,85,"23.7112607,120.265335"
同安集會所活動中心,雲林縣東勢鄉同安村同安路150號,43,"23.7104987,120.2668783"
雲林縣褒忠鄉公所,雲林縣褒忠鄉中民村中正路451號,113,"23.6912172,120.3039398"
褒忠國中,雲林縣褒忠鄉埔姜村中勝路62號,94,"23.6996795,120.3098431"
褒忠國小,雲林縣褒忠鄉埔姜村中勝路72號,245,"23.7008531,120.3104712"
龍巖國小（含操場）,雲林縣褒忠鄉田洋村民生路28巷15號,561,"23.7223832,120.3071519"
潮厝國小,雲林縣褒忠鄉潮厝村潮厝96號,33,"23.715874,120.335183"
復興國小（含操場）,雲林縣褒忠鄉新湖村復興路71號,405,"23.7047688,120.2834513"
安海宮(香客大樓),雲林縣臺西鄉台西村民權路6巷2號,250,"23.700192,120.200424"
泉州國小,雲林縣臺西鄉牛厝村舊泉州20號,95,"23.681314,120.18885"
明聖宮(香客大樓),雲林縣臺西鄉溪頂村溪頂165-3號,220,"23.681448,120.18629"
進安府(香客大樓),雲林縣臺西鄉永豐村崙豐路65號,120,"23.7214618,120.2099195"
臺西國中學生活動中心,雲林縣臺西鄉海口村中山路408號,150,"23.7015509,120.1917626"
臺西國中操場,雲林縣臺西鄉海口村中山路408號,350,"23.7015509,120.1917626"
臺西國小操場,雲林縣臺西鄉台西村民權路9號,150,"23.7018894,120.198797"
崙豐國小操場,雲林縣臺西鄉永豐村崙豐路42號,150,"23.7200335,120.2096185"
尚德國小操場,雲林縣臺西鄉溪頂村溪頂12號,150,"23.681448,120.18629"
新興國小操場,雲林縣臺西鄉和豐村復興路53號,150,"23.7392584,120.2221407"
光華社區活動中心,雲林縣臺西鄉光華村光華63-55號,80,"23.691289,120.207104"
元長鄉公所大樓,雲林元長長南村元南路17號,243,"23.6428756,120.3197353"
元長國小,雲林元長長南村元西路76號,655,"23.6521915,120.3093145"
元長國中,雲林元長長南村元南路16號,624,"23.6455306,120.3162931"
山內國小,雲林元長山內村南山路3號,452,"23.6785187,120.3123781"
仁愛國小,雲林元長潭西村潭內路1號,227,"23.6412322,120.2893093"
仁德國小,雲林元長內寮村內寮路6號,379,"23.618229,120.347939"
和平國小,雲林元長子茂村子茂4號,163,"23.661569,120.330762"
忠孝國小,雲林元長龍岩村148號,624,"35.3662106,137.4437514"
信義國小,雲林元長五塊村北水8號,252,"23.6635417,120.2830007"
新生國小,雲林元長瓦磘村新生路11號,398,"23.6382774,120.3592242"
客厝國小,雲林元長頂寮村頂寮路11號,439,"23.631145,120.330054"
長南村長北村集會所,雲林元長長北村元北路32-20號,190,"23.654753,120.3140676"
四湖參天宮,雲林縣四湖鄉湖西村關聖路87號,944,"23.639044,120.226791"
四湖國小,雲林縣四湖鄉四湖村中山東路37號,265,"23.6359747,120.2285539"
飛沙國小,雲林縣四湖鄉飛沙村大同路26號,201,"23.6431345,120.1785946"
三崙國小,雲林縣四湖鄉崙南村延平南路18號,730,"23.6513449,120.1558631"
林厝寮順天府,雲林縣四湖鄉林東村中華路81號,25,"23.675532,120.179258"
三條崙海清宮,雲林縣四湖鄉崙北村海清路93號,300,"23.6576349,120.1534427"
四湖鄉立幼兒園,雲林縣四湖鄉羊調村中洋南路10-2號,142,"23.6390656,120.1978774"
四湖公所3樓禮堂,雲林縣四湖鄉湖西村中山西路44號,45,"23.6380363,120.2244064"
四湖鄉飛沙集會所避難收容場所,雲林縣四湖鄉飛沙村大同路47巷5-1號,46,"23.6416548,120.1803522"
四湖鄉避難收容場所,雲林縣四湖鄉湖西村中山西路44-1號,14,"23.6380363,120.2244064"
四湖鄉運動公園,雲林縣四湖鄉湖西村四湖鄉環湖西路旁(下寮段251-7地號),4000,"23.6340991,120.2252413"
第二老人文康中心,雲林縣口湖鄉下崙村福安路91號,150,"23.617489,120.161659"
金湖國小,雲林縣口湖鄉港東村民主路15號,390,"23.5739966,120.1542393"
台興國小,雲林縣口湖鄉台子村台興130號,140,"23.5617332,120.1421843"
興南國小,雲林縣口湖鄉埔南村外埔9號,225,"23.600018,120.1907705"
宜梧國中,雲林縣口湖鄉梧南村光明路1號,500,"23.5465957,120.1946485"
文光國小,雲林縣口湖鄉梧南村文光路100號,330,"23.5415795,120.1890569"
梧北活動中心,雲林縣口湖鄉梧北村6鄰復興路175號,45,"23.5494694,120.1901276"
崇文國小,雲林縣口湖鄉蚵寮村崇文路二段285號,250,"23.5749113,120.1775122"
頂湖國小,雲林縣口湖鄉頂湖村6鄰121號,160,"23.5999003,120.1791357"
文光國小過港分校,雲林縣口湖鄉過港村過港村119號,35,"23.571668,120.191856"
後厝社區活動中心,雲林縣口湖鄉後厝村8鄰109號,50,"23.5361171,120.1950093"
口湖國中,雲林縣口湖鄉湖東村文明路133巷20號,210,"23.5878264,120.1838258"
口湖國小,雲林縣口湖鄉湖東村文明路103巷46號,190,"23.587026,120.1836455"
梧南社區活動中心,雲林縣口湖鄉梧南村文光路56之1號,50,"23.544231,120.1899788"
口湖鄉公所,雲林縣口湖鄉湖東村中正路一段118號,80,"23.5827378,120.1858552"
埔北活動中心,雲林縣口湖鄉埔北村林圍路39-2號,40,"23.6135424,120.1906803"
金湖避難所,雲林縣口湖鄉港西村海豐路2-6號,40,"23.5753095,120.1483385"
成龍國小,雲林縣口湖鄉成龍村200之1號,105,"23.5552665,120.161817"
鄉海民宿,雲林縣口湖鄉下崙村中和路61號,15,"23.6209208,120.1627043"
誠正國小,雲林縣水林鄉蘇秦村蘇秦路1號,50,"23.6203578,120.2615492"
